# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354697e-02 6.4382318418096799e-06 1.0000000000000000e+00 6.4382318418096799e-06 1.2325669854156495e-04 1.2325669854112300e-04
4.0020010005002500e-02 5.6993716497012255e+00 -1.5701214412013140e-02 6.4382000831618214e-06 1.0408316010295584e+00 6.7010821003059550e-06 1.2326406700600458e-04 -1.3413034591026472e-03
8.0040020010005000e-02 5.6987432629180361e+00 -1.5702551163684970e-02 6.4381683209824692e-06 1.0833304217017536e+00 6.9746636021568097e-06 1.2328505652407212e-04 -2.6407823826029089e-03
1.2006003001500751e-01 5.6981148069267107e+00 -1.5704657793943141e-02 6.4381365519631183e-06 1.1275645372638630e+00 7.2594144620558555e-06 1.2331813821242951e-04 -3.7937525392761286e-03
1.6008004002001000e-01 5.6974862526825243e+00 -1.5707447814314730e-02 6.4381047731662511e-06 1.1736048025844994e+00 7.5557906813301016e-06 1.2336195841971029e-04 -4.8167223826750269e-03
2.0010005002501249e-01 5.6968575743996617e+00 -1.5710844555754229e-02 6.4380729819826247e-06 1.2215249656500033e+00 7.8642668781685407e-06 1.2341531832753613e-04 -5.7243614595987174e-03
2.4012006003001501e-01 5.6962287491846064e+00 -1.5714780064203470e-02 6.4380411760940955e-06 1.2714017856950692e+00 8.1853370476644165e-06 1.2347715623314340e-04 -6.5296989547291547e-03
2.8014007003501751e-01 5.6955997567079688e+00 -1.5719194111965588e-02 6.4380093534403957e-06 1.3233151561568384e+00 8.5195153528871630e-06 1.2354653176482682e-04 -7.2443033687938285e-03
3.2016008004002000e-01 5.6949705789056511e+00 -1.5724033297432116e-02 6.4379775121889406e-06 1.3773482326494020e+00 8.8673369482500310e-06 1.2362261156937694e-04 -7.8784478257796289e-03
3.6018009004502249e-01 5.6943411997306663e+00 -1.5729250297422909e-02 6.4379456507097941e-06 1.4335875661637096e+00 9.2293588364952935e-06 1.2370465745948934e-04 -8.4412480516994886e-03
4.0020010005002499e-01 5.6937116049191125e+00 -1.5734803162176306e-02 6.4379137675520879e-06 1.4921232417062418e+00 9.6061607606650653e-06 1.2379201527621674e-04 -8.9407936822272147e-03
4.4022011005502748e-01 5.6930817817879760e+00 -1.5740654706202933e-02 6.4378818614236672e-06 1.5530490225985223e+00 9.9983461324887817e-06 1.2388410528995427e-04 -9.3842623070318695e-03
4.8024012006003003e-01 5.6924517190576518e+00 -1.5746771973611625e-02 6.4378499311732542e-06 1.6164625006686109e+00 1.0406542998673562e-05 1.2398041379446027e-04 -9.7780200794543876e-03
5.2026013006503247e-01 5.6918214066906421e+00 -1.5753125752188991e-02 6.4378179757742306e-06 1.6824652525751536e+00 1.0831405046643854e-05 1.2408048548213999e-04 -1.0127713613290483e-02
5.6028014007003502e-01 5.6911908357493228e+00 -1.5759690144893701e-02 6.4377859943103548e-06 1.7511630025143974e+00 1.1273612651341656e-05 1.2418391673152981e-04 -1.0438351334749399e-02
6.0030015007503745e-01 5.6905599982739545e+00 -1.5766442202348033e-02 6.4377539859635295e-06 1.8226657915707887e+00 1.1733873964764216e-05 1.2429034985999055e-04 -1.0714373477156001e-02
6.4032016008004000e-01 5.6899288871692555e+00 -1.5773361581147085e-02 6.4377219500024043e-06 1.8970881539824314e+00 1.2212926049982239e-05 1.2439946778480343e-04 -1.0959717373736456e-02
6.8034017008504255e-01 5.6892974961065201e+00 -1.5780430248964143e-02 6.4376898857725693e-06 1.9745493006037433e+00 1.2711536061456018e-05 1.2451098942121126e-04 -1.1177873948307550e-02
7.2036018009004499e-01 5.6886658194380546e+00 -1.5787632226778793e-02 6.4376577926879716e-06 2.0551733098591889e+00 1.3230502473539338e-05 1.2462466566401216e-04 -1.1371937207865062e-02
7.6038019009504754e-01 5.6880338521185463e+00 -1.5794953352003208e-02 6.4376256702230273e-06 2.1390893264939561e+00 1.3770656359137578e-05 1.2474027569597869e-04 -1.1544649806745071e-02
8.0040020010004997e-01 5.6874015896348604e+00 -1.5802381066980301e-02 6.4375935179055850e-06 2.2264317684399439e+00 1.4332862720568052e-05 1.2485762369302873e-04 -1.1698443792658898e-02
8.4042021010505252e-01 5.6867690279488636e+00 -1.5809904246735122e-02 6.4375613353111855e-06 2.3173405421284179e+00 1.4918021874754964e-05 1.2497653614546662e-04 -1.1835473857247140e-02
8.8044022011005496e-01 5.6861361634414260e+00 -1.5817513030272092e-02 6.4375291220574603e-06 2.4119612665942256e+00 1.5527070894974924e-05 1.2509685923141372e-04 -1.1957649915420697e-02
9.2046023011505751e-01 5.6855029928646346e+00 -1.5825198676617632e-02 6.4374968777993189e-06 2.5104455067305493e+00 1.6160985111463240e-05 1.2521845657721022e-04 -1.2066664941263234e-02
9.6048024012006006e-01 5.6848695133004705e+00 -1.5832953440325235e-02 6.4374646022248202e-06 2.6129510160678189e+00 1.6820779673283961e-05 1.2534120732175336e-04 -1.2164019067556285e-02
1.0005002501250626e+00 5.6842357221238338e+00 -1.5840770460088940e-02 6.4374322950514551e-06 2.7196419894656789e+00 1.7507511173964350e-05 1.2546500438461318e-04 -1.2251041161066737e-02
1.0405202601300649e+00 5.6836016169671435e+00 -1.5848643652095214e-02 6.4373999560225936e-06 2.8306893261227755e+00 1.8222279343496379e-05 1.2558975280554894e-04 -1.2328909469084761e-02
1.0805402701350675e+00 5.6829671956919201e+00 -1.5856567624415865e-02 6.4373675849046300e-06 2.9462709033256500e+00 1.8966228809416222e-05 1.2571536841383669e-04 -1.2398668221096039e-02
1.1205602801400700e+00 5.6823324563637945e+00 -1.5864537601712688e-02 6.4373351814844806e-06 3.0665718613752397e+00 1.9740550929781180e-05 1.2584177665807787e-04 -1.2461242238662901e-02
1.1605802901450726e+00 5.6816973972280751e+00 -1.5872549351636664e-02 6.4373027455671210e-06 3.1917849001473835e+00 2.0546485700978432e-05 1.2596891146007073e-04 -1.2517451197902511e-02
1.2006003001500749e+00 5.6810620166892267e+00 -1.5880599123012689e-02 6.4372702769735250e-06 3.3221105877623698e+00 2.1385323743421749e-05 1.2609671425291570e-04 -1.2568021618811317e-02
1.2406203101550775e+00 5.6804263132933306e+00 -1.5888683592989755e-02 6.4372377755389072e-06 3.4577576818579545e+00 2.2258408368315867e-05 1.2622513315907092e-04 -1.2613597123085516e-02
1.2806403201600800e+00 5.6797902857124116e+00 -1.5896799819826571e-02 6.4372052411111424e-06 3.5989434639804694e+00 2.3167137728797768e-05 1.2635412225581904e-04 -1.2654747597663933e-02
1.3206603301650826e+00 5.6791539327291041e+00 -1.5904945196708060e-02 6.4371726735492232e-06 3.7458940876296567e+00 2.4112967058899226e-05 1.2648364085514338e-04 -1.2691978141933293e-02
1.3606803401700851e+00 5.6785172532231094e+00 -1.5913117410942066e-02 6.4371400727218943e-06 3.8988449405147323e+00 2.5097411003916394e-05 1.2661365286721377e-04 -1.2725736970577476e-02
1.4007003501750874e+00 5.6778802461624887e+00 -1.5921314417723129e-02 6.4371074385067813e-06 4.0580410216019409e+00 2.6122046045919514e-05 1.2674412639399919e-04 -1.2756420528347467e-02
1.4407203601800900e+00 5.6772429105921862e+00 -1.5929534405570201e-02 6.4370747707892309e-06 4.2237373335575734e+00 2.7188513028284034e-05 1.2687503318912238e-04 -1.2784380174639499e-02
1.4807403701850925e+00 5.6766052456251588e+00 -1.5937775769603490e-02 6.4370420694614165e-06 4.3961992912150469e+00 2.8298519783287720e-05 1.2700634824108005e-04 -1.2809927362162042e-02
1.5207603801900951e+00 5.6759672504346383e+00 -1.5946037088232754e-02 6.4370093344215587e-06 4.5757031467203673e+00 2.9453843866981102e-05 1.2713804940964727e-04 -1.2833338154667829e-02
1.5607803901950974e+00 5.6753289242476770e+00 -1.5954317103714206e-02 6.4369765655732744e-06 4.7625364320369465e+00 3.0656335405710780e-05 1.2727011712293382e-04 -1.2854856998888043e-02
1.6008004002000999e+00 5.6746902663392325e+00 -1.5962614704334462e-02 6.4369437628249824e-06 4.9569984195186159e+00 3.1907920058853653e-05 1.2740253409951739e-04 -1.2874700177907105e-02
1.6408204102051025e+00 5.6740512760260469e+00 -1.5970928905979127e-02 6.4369109260892808e-06 5.1594006012885520e+00 3.3210602102505883e-05 1.2753528505991983e-04 -1.2893059371707564e-02
1.6808404202101050e+00 5.6734119526607190e+00 -1.5979258834269792e-02 6.4368780552823464e-06 5.3700671881920297e+00 3.4566467639065052e-05 1.2766835644629460e-04 -1.2910105100058121e-02
1.7208604302151076e+00 5.6727722956297919e+00 -1.5987603718806028e-02 6.4368451503237483e-06 5.5893356291222087e+00 3.5977687937847026e-05 1.2780173633479016e-04 -1.2925987864124478e-02
1.7608804402201099e+00 5.6721323043488061e+00 -1.5995962878264065e-02 6.4368122111359448e-06 5.8175571515508215e+00 3.7446522912083575e-05 1.2793541420140099e-04 -1.2940841015059988e-02
1.8009004502251125e+00 5.6714919782588735e+00 -1.6004335710092122e-02 6.4367792376439330e-06 6.0550973241295987e+00 3.8975324737870734e-05 1.2806938076066496e-04 -1.2954782745017081e-02
1.8409204602301150e+00 5.6708513168235033e+00 -1.6012721680930469e-02 6.4367462297749306e-06 6.3023366422636045e+00 4.0566541620862652e-05 1.2820362781547034e-04 -1.2967917935391779e-02
1.8809404702351176e+00 5.6702103195261904e+00 -1.6021120319361811e-02 6.4367131874581307e-06 6.5596711375944787e+00 4.2222721716742857e-05 1.2833814814373394e-04 -1.2980339559480067e-02
1.9209604802401201e+00 5.6695689858684508e+00 -1.6029531209995281e-02 6.4366801106245062e-06 6.8275130123698462e+00 4.3946517211750996e-05 1.2847293540610639e-04 -1.2992129829259012e-02
